Invoice ID,City,Customer Type,Gender,Product Line,Unit price,Quantity,Tax 5%,Total,Date,Payment,COGS,Gross Margin Percentage,Gross Income
778-71-5554,Naypyitaw,Member,Male,Fashion accessories,15.43,1,0.7715,16.2015,1/25/2019,Credit card,15.43,4.761904762,0.7715
242-55-6721,Mandalay,Normal,Male,Home and lifestyle,16.16,2,1.616,33.936,3/7/2019,Ewallet,32.32,4.761904762,1.616
399-46-5918,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,34.392,722.232,2/28/2019,Cash,687.84,4.761904762,34.392
106-35-6779,Yangon,Member,Male,Home and lifestyle,44.34,2,4.434,93.114,3/27/2019,Cash,88.68,4.761904762,4.434
635-40-6220,Yangon,Normal,Male,Health and beauty,89.6,8,35.84,752.64,2/7/2019,Ewallet,716.8,4.761904762,35.84
817-48-8732,Yangon,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,1/20/2019,Cash,723.5,4.761904762,36.175
120-06-4233,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,9.183,192.843,3/12/2019,Cash,183.66,4.761904762,9.183
285-68-5083,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.711,77.931,2/15/2019,Credit card,74.22,4.761904762,3.711
803-83-5989,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,16.719,351.099,2/24/2019,Ewallet,334.38,4.761904762,16.719
347-34-2234,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,2/3/2019,Ewallet,495.63,4.761904762,24.7815
199-75-8169,Yangon,Member,Male,Sports and travel,15.81,10,7.905,166.005,3/6/2019,Credit card,158.1,4.761904762,7.905
853-23-2453,Mandalay,Member,Male,Health and beauty,75.74,4,15.148,318.108,2/14/2019,Cash,302.96,4.761904762,15.148
877-22-3308,Yangon,Member,Male,Health and beauty,15.87,10,7.935,166.635,3/13/2019,Cash,158.7,4.761904762,7.935
838-78-4295,Naypyitaw,Normal,Female,Health and beauty,33.47,2,3.347,70.287,2/10/2019,Ewallet,66.94,4.761904762,3.347
109-28-2512,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,614.943,1/7/2019,Ewallet,585.66,4.761904762,29.283
232-11-3025,Yangon,Normal,Male,Sports and travel,78.77,10,39.385,827.085,1/24/2019,Cash,787.7,4.761904762,39.385
382-03-4532,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,2/2/2019,Cash,18.33,4.761904762,0.9165
393-65-2792,Naypyitaw,Normal,Male,Food and beverages,89.48,10,44.74,939.54,1/6/2019,Credit card,894.8,4.761904762,44.74
796-12-2025,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,31.06,652.26,2/11/2019,Cash,621.2,4.761904762,31.06
510-95-6347,Mandalay,Member,Female,Food and beverages,48.52,3,7.278,152.838,3/5/2019,Ewallet,145.56,4.761904762,7.278
841-35-6630,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,22.773,478.233,3/9/2019,Cash,455.46,4.761904762,22.773
287-21-9091,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,1/22/2019,Ewallet,672.03,4.761904762,33.6015
732-94-0499,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20.825,437.325,1/13/2019,Credit card,416.5,4.761904762,20.825
263-10-3913,Naypyitaw,Member,Male,Fashion accessories,49.04,9,22.068,463.428,1/9/2019,Credit card,441.36,4.761904762,22.068
381-20-0914,Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,1/12/2019,Credit card,180.09,4.761904762,9.0045
829-49-1914,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.155,822.255,3/5/2019,Ewallet,783.1,4.761904762,39.155
756-01-7507,Naypyitaw,Normal,Female,Health and beauty,20.38,5,5.095,106.995,1/22/2019,Cash,101.9,4.761904762,5.095
870-72-4431,Naypyitaw,Normal,Female,Health and beauty,99.19,6,29.757,624.897,1/21/2019,Credit card,595.14,4.761904762,29.757
847-38-7188,Mandalay,Normal,Female,Food and beverages,96.68,3,14.502,304.542,1/26/2019,Ewallet,290.04,4.761904762,14.502
480-63-2856,Naypyitaw,Normal,Male,Food and beverages,19.25,8,7.7,161.7,1/23/2019,Ewallet,154,4.761904762,7.7
787-56-0757,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.072,337.512,2/23/2019,Credit card,321.44,4.761904762,16.072
360-39-5055,Naypyitaw,Member,Male,Sports and travel,48.91,5,12.2275,256.7775,3/9/2019,Cash,244.55,4.761904762,12.2275
730-50-9884,Naypyitaw,Normal,Female,Sports and travel,83.06,7,29.071,610.491,3/5/2019,Ewallet,581.42,4.761904762,29.071
362-58-8315,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,19.13,401.73,3/25/2019,Cash,382.6,4.761904762,19.13
633-44-8566,Yangon,Member,Male,Food and beverages,49.38,7,17.283,362.943,3/27/2019,Credit card,345.66,4.761904762,17.283
504-35-8843,Yangon,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,1/2/2019,Cash,42.47,4.761904762,2.1235
318-68-5053,Mandalay,Normal,Female,Health and beauty,76.99,6,23.097,485.037,2/27/2019,Cash,461.94,4.761904762,23.097
565-80-5980,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.476,198.996,1/23/2019,Cash,189.52,4.761904762,9.476
225-32-0908,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.43,471.03,1/26/2019,Ewallet,448.6,4.761904762,22.43
873-51-0671,Yangon,Member,Female,Sports and travel,21.98,7,7.693,161.553,1/10/2019,Ewallet,153.86,4.761904762,7.693
152-08-9985,Mandalay,Member,Male,Health and beauty,64.36,9,28.962,608.202,3/12/2019,Credit card,579.24,4.761904762,28.962
512-91-0811,Naypyitaw,Normal,Male,Health and beauty,89.75,1,4.4875,94.2375,2/6/2019,Credit card,89.75,4.761904762,4.4875
594-34-4444,Yangon,Normal,Male,Electronic accessories,97.16,1,4.858,102.018,3/8/2019,Ewallet,97.16,4.761904762,4.858
766-85-7061,Mandalay,Normal,Male,Health and beauty,87.87,10,43.935,922.635,3/29/2019,Ewallet,878.7,4.761904762,43.935
871-39-9221,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,3.735,78.435,2/9/2019,Cash,74.7,4.761904762,3.735
865-92-6136,Yangon,Normal,Male,Food and beverages,52.75,3,7.9125,166.1625,3/23/2019,Ewallet,158.25,4.761904762,7.9125
733-01-9107,Mandalay,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,3/5/2019,Cash,496.2,4.761904762,24.81
163-56-7055,Naypyitaw,Member,Male,Fashion accessories,48.71,1,2.4355,51.1455,3/26/2019,Cash,48.71,4.761904762,2.4355
189-98-2939,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,35.3475,742.2975,3/1/2019,Cash,706.95,4.761904762,35.3475
551-21-3069,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,10.3815,218.0115,2/1/2019,Cash,207.63,4.761904762,10.3815
212-62-1842,Yangon,Normal,Male,Food and beverages,58.26,6,17.478,367.038,3/28/2019,Cash,349.56,4.761904762,17.478
716-39-1409,Mandalay,Normal,Male,Health and beauty,30.35,7,10.6225,223.0725,3/19/2019,Cash,212.45,4.761904762,10.6225
704-48-3927,Yangon,Member,Male,Electronic accessories,88.67,10,44.335,931.035,1/12/2019,Ewallet,886.7,4.761904762,44.335
628-34-3388,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,8.214,172.494,1/5/2019,Credit card,164.28,4.761904762,8.214
630-74-5166,Yangon,Normal,Male,Sports and travel,62.13,6,18.639,391.419,3/22/2019,Cash,372.78,4.761904762,18.639
588-01-7461,Naypyitaw,Normal,Female,Food and beverages,33.98,9,15.291,321.111,3/24/2019,Cash,305.82,4.761904762,15.291
861-77-0145,Naypyitaw,Member,Male,Electronic accessories,81.97,10,40.985,860.685,3/3/2019,Cash,819.7,4.761904762,40.985
479-26-8945,Mandalay,Member,Female,Sports and travel,16.49,2,1.649,34.629,2/5/2019,Ewallet,32.98,4.761904762,1.649
210-67-5886,Naypyitaw,Member,Female,Health and beauty,98.21,3,14.7315,309.3615,2/5/2019,Credit card,294.63,4.761904762,14.7315
227-78-1148,Mandalay,Normal,Female,Fashion accessories,72.84,7,25.494,535.374,2/15/2019,Cash,509.88,4.761904762,25.494
645-44-1170,Yangon,Member,Male,Home and lifestyle,58.07,9,26.1315,548.7615,1/19/2019,Ewallet,522.63,4.761904762,26.1315
237-01-6122,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,2/1/2019,Credit card,727.11,4.761904762,36.3555
225-98-1496,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,4.053,85.113,3/2/2019,Credit card,81.06,4.761904762,4.053
291-32-1427,Mandalay,Member,Male,Fashion accessories,21.94,5,5.485,115.185,3/5/2019,Ewallet,109.7,4.761904762,5.485
659-65-8956,Mandalay,Member,Male,Fashion accessories,51.36,1,2.568,53.928,1/16/2019,Ewallet,51.36,4.761904762,2.568
642-32-2990,Yangon,Normal,Female,Food and beverages,10.96,10,5.48,115.08,2/2/2019,Ewallet,109.6,4.761904762,5.48
378-24-2715,Mandalay,Normal,Male,Home and lifestyle,53.44,2,5.344,112.224,1/20/2019,Ewallet,106.88,4.761904762,5.344
638-60-7125,Yangon,Normal,Female,Electronic accessories,99.56,8,39.824,836.304,2/14/2019,Credit card,796.48,4.761904762,39.824
659-36-1684,Naypyitaw,Member,Male,Sports and travel,57.12,7,19.992,419.832,1/12/2019,Credit card,399.84,4.761904762,19.992
219-22-9386,Mandalay,Member,Male,Sports and travel,99.96,9,44.982,944.622,3/9/2019,Credit card,899.64,4.761904762,44.982
336-78-2147,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,25.564,536.844,3/13/2019,Credit card,511.28,4.761904762,25.564
268-27-6179,Mandalay,Member,Female,Fashion accessories,56.47,8,22.588,474.348,3/9/2019,Ewallet,451.76,4.761904762,22.588
668-90-8900,Yangon,Normal,Female,Home and lifestyle,93.69,7,32.7915,688.6215,3/10/2019,Credit card,655.83,4.761904762,32.7915
870-54-3162,Yangon,Normal,Female,Sports and travel,32.25,5,8.0625,169.3125,1/27/2019,Cash,161.25,4.761904762,8.0625
189-08-9157,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,14.2785,299.8485,1/8/2019,Credit card,285.57,4.761904762,14.2785
663-86-9076,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.416,575.736,1/8/2019,Ewallet,548.32,4.761904762,27.416
549-84-7482,Mandalay,Normal,Female,Sports and travel,90.28,9,40.626,853.146,2/8/2019,Ewallet,812.52,4.761904762,40.626
191-10-6171,Mandalay,Normal,Female,Fashion accessories,39.62,7,13.867,291.207,1/25/2019,Cash,277.34,4.761904762,13.867
802-70-5316,Yangon,Member,Female,Sports and travel,92.13,6,27.639,580.419,3/6/2019,Cash,552.78,4.761904762,27.639
695-51-0018,Mandalay,Normal,Female,Sports and travel,34.84,4,6.968,146.328,2/10/2019,Cash,139.36,4.761904762,6.968
590-83-4591,Mandalay,Member,Male,Electronic accessories,87.45,6,26.235,550.935,2/17/2019,Credit card,524.7,4.761904762,26.235
483-71-1164,Naypyitaw,Normal,Female,Health and beauty,81.3,6,24.39,512.19,3/8/2019,Ewallet,487.8,4.761904762,24.39
597-78-7908,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,13.533,284.193,2/18/2019,Cash,270.66,4.761904762,13.533
700-81-1757,Yangon,Normal,Female,Electronic accessories,26.31,5,6.5775,138.1275,1/18/2019,Credit card,131.55,4.761904762,6.5775
354-39-5160,Yangon,Member,Female,Home and lifestyle,34.42,6,10.326,216.846,2/18/2019,Cash,206.52,4.761904762,10.326
241-72-9525,Mandalay,Normal,Male,Sports and travel,51.91,10,25.955,545.055,2/16/2019,Cash,519.1,4.761904762,25.955
575-30-8091,Yangon,Normal,Male,Sports and travel,72.5,8,29,609,3/16/2019,Ewallet,580,4.761904762,29
731-81-9469,Naypyitaw,Member,Female,Sports and travel,89.8,10,44.9,942.9,1/23/2019,Credit card,898,4.761904762,44.9
280-17-4359,Naypyitaw,Member,Male,Health and beauty,90.5,10,45.25,950.25,1/25/2019,Cash,905,4.761904762,45.25
338-65-2210,Naypyitaw,Member,Female,Health and beauty,68.6,10,34.3,720.3,2/5/2019,Cash,686,4.761904762,34.3
488-25-4221,Naypyitaw,Member,Female,Food and beverages,30.41,1,1.5205,31.9305,2/22/2019,Credit card,30.41,4.761904762,1.5205
239-10-7476,Yangon,Normal,Female,Home and lifestyle,77.95,6,23.385,491.085,1/21/2019,Ewallet,467.7,4.761904762,23.385
458-41-1477,Naypyitaw,Normal,Female,Health and beauty,46.26,6,13.878,291.438,3/8/2019,Credit card,277.56,4.761904762,13.878
685-64-1609,Yangon,Member,Female,Fashion accessories,30.14,10,15.07,316.47,2/10/2019,Ewallet,301.4,4.761904762,15.07
568-90-5112,Naypyitaw,Normal,Male,Health and beauty,66.14,4,13.228,277.788,3/19/2019,Credit card,264.56,4.761904762,13.228
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
